Type;Name;Value;Weight;nov/25;dec/25;jan/26;feb/26;mar/26;apr/26;Last Month Return;Cumulative Return;Last Month vs CDB;Cumulative vs CDB
Stocks;LREN3;R$27,812.04;8.91%;-;-;12.83%;4.35%;-3.98%;-7.78%;-7.78%;4.26%;-8.87%;-2.66%
Stocks;MBRF3;R$15,432.89;4.94%;-;-;-6.56%;10.77%;4.64%;-19.45%;-19.45%;-12.76%;-20.54%;-19.68%
Stocks;AZZA3;R$10,923.72;3.50%;-;-;13.53%;-2.13%;-1.80%;-15.88%;-15.88%;-8.20%;-16.97%;-15.13%
Stocks;HAPV3;R$6,143.14;1.97%;-;-;-11.74%;-19.31%;-3.72%;22.67%;22.67%;-15.89%;21.58%;-22.81%
Funds;Riza Lotus Plus Advisory FIC FIRF REF DI CP;R$96,178.73;30.81%;-;1.20%;1.24%;0.87%;1.10%;0.06%;0.06%;4.55%;-1.03%;-2.37%
Funds;Brave 90 FIC FIDC;R$72,567.43;23.24%;1.17%;1.35%;1.29%;1.10%;1.33%;1.14%;1.14%;7.61%;0.05%;0.69%
Funds;Trend Investback FIC FIRF Simples;R$305.44;0.10%;-;1.22%;1.17%;1.00%;1.25%;0.11%;0.11%;4.83%;-0.98%;-2.09%
Funds;Truxt Long Bias Advisory FIC FIM;R$12,522.05;4.01%;-;1.17%;16.91%;4.35%;-12.98%;1.18%;1.18%;8.68%;0.09%;1.76%
Funds;STK Long Biased FIC FIA;R$9,745.97;3.12%;-;-0.21%;3.50%;0.20%;-2.63%;0.63%;0.63%;1.40%;-0.46%;-5.52%
Funds;Constellation Institucional Advisory FIC FIA;R$8,475.02;2.71%;-;-1.44%;6.18%;-2.91%;-0.58%;0.77%;0.77%;1.80%;-0.32%;-5.13%
Funds;Ibiuna Hedge ST Advisory FIC FIM;R$11,601.02;3.72%;-;-0.90%;5.08%;1.89%;-10.87%;0.29%;0.29%;-5.16%;-0.80%;-12.08%
Fixed Revenue;CDB BANCO C6 CONSIGNADO S.A. - SET/2024;R$40,478.75;12.97%;0.63%;0.78%;0.78%;1.15%;1.34%;-;-;4.77%;-;-2.15%
Watchlist;GGBR4;R$0,00;0.00%;-;-;9.96%;-6.38%;-9.48%;19.63%;19.63%;11.48%;18.54%;4.56%
Watchlist;ABEV3;R$0,00;0.00%;-;-;19.60%;9.56%;-6.27%;-4.85%;-4.85%;16.86%;-5.94%;9.94%
Watchlist;PETR4;R$0,00;0.00%;-;-;26.39%;4.16%;23.75%;0.84%;0.84%;64.28%;-0.25%;57.36%
Watchlist;VALE3;R$0,00;0.00%;-;-;23.31%;4.92%;-6.77%;-1.58%;-1.58%;18.72%;-2.67%;11.80%
Watchlist;ITUB4;R$0,00;0.00%;-;-;22.67%;2.86%;-7.02%;0.19%;0.19%;17.55%;-0.90%;10.63%
Watchlist;WEGE3;R$0,00;0.00%;-;-;10.45%;-3.91%;2.64%;-11.86%;-11.86%;-3.99%;-12.95%;-10.91%
Watchlist;B3SA3;R$0,00;0.00%;-;-;16.27%;13.96%;2.79%;-2.01%;-2.01%;33.46%;-3.10%;26.54%
Watchlist;BBAS3;R$0,00;0.00%;-;-;15.66%;6.86%;-13.95%;-3.18%;-3.18%;2.97%;-4.27%;-3.95%
Portfolio;Global Portfolio Return;R$312,186.20;100.00%;0.98%;0.94%;2.99%;1.31%;-0.46%;-1.59%;-1.59%;4.18%;-2.68%;-2.75%
Benchmark;CDI (Benchmark);—;-;1.05%;1.22%;1.16%;1.00%;1.21%;1.09%;1.09%;6.92%;-;-
